subject_ID,left_obs_rep,left_gue_int,incorrect_guess,low_intervene,obs_bad_timing,gue_bad_timing,int_bad_timing,rep_bad_timing
1,-0.2616,0.9490,-0.0526,-0.3420,0.3930,1.8132,2.5523,-0.4619
2,-0.2231,-0.0694,2.2274,-0.4342,-0.8908,-0.7107,-0.6754,-0.8457
3,-0.5303,-0.7726,-1.0449,-0.4342,0.3930,-0.7107,0.6223,2.4034
4,-0.4046,-0.7726,-1.0843,-0.3312,3.4335,-0.7107,0.6223,1.3696
5,-0.5597,-0.6996,0.2065,0.6345,-0.2438,-0.0648,-0.0768,1.0145
6,-0.1341,-0.7361,0.6979,-0.2155,2.2452,2.4201,-0.5223,-0.8457
7,-0.0944,-0.0752,1.5966,-0.3257,0.3930,-0.7107,-0.3715,-0.8457
8,-0.4232,-0.0694,1.3799,0.8987,-0.8908,-0.0648,-0.8309,-0.8457
9,0.0798,-0.3107,-0.3747,0.6903,-0.2438,-0.7107,0.7560,2.4034
10,-0.6900,-0.7718,-1.0843,-0.4342,-0.8908,-0.7107,-0.2230,-0.8457
11,-0.2930,1.1866,-0.4141,4.4149,-0.8908,-0.7107,-0.6754,-0.0842
12,3.0235,0.4156,-0.2238,0.4615,-0.2438,-0.0648,-0.9890,1.0145
13,-0.3957,-0.6285,-0.8105,-0.4342,0.3930,-0.0648,0.2091,0.2877
14,-0.1253,0.7740,-0.0753,-0.3231,-0.2438,0.5710,-0.8309,-0.8457
15,-0.1253,-0.1536,0.7009,-0.3257,-0.8908,0.5710,-0.3715,-0.4619
16,0.6055,3.3905,0.4292,-0.4342,-0.2438,0.5710,-0.5223,-0.8457
17,-0.5252,-0.7344,-1.0843,-0.3240,0.3930,-0.7107,-0.6754,-0.4619
18,-0.0991,0.0034,1.9872,-0.3449,0.3930,2.4201,3.0753,-0.0842
19,-0.3246,-0.7021,-0.9670,-0.4342,-0.2438,-0.0648,0.7560,-0.8457
20,-0.6233,-0.7350,-1.0843,-0.3257,-0.8908,-0.7107,-0.3715,-0.8457
21,0.1703,1.8992,0.2561,-0.4342,-0.2438,-0.7107,-0.8309,-0.4619
22,-0.6244,-0.7356,-1.0843,-0.3273,-0.2438,-0.7107,-0.0768,0.2877
23,-0.5587,0.1301,0.4945,-0.3265,0.3930,1.1969,-0.2230,-0.0842
24,3.3323,-0.5128,-0.2170,-0.3240,-0.8908,-0.7107,-0.6754,1.0145
25,-0.1957,-0.2690,-0.3747,-0.2252,-0.2438,-0.7107,0.3489,-0.0842
