Complex,SPRmlF,SPRF,SPRml,SPRuv
C1,7.192489,2,0,0.003561482
C1,7.692582,3,0.001,0.008404947
C1,8.192487,4,0.002,-0.007890361
C1,8.692658,5,0.003,-0.04213297
C1,9.192541,6,0.004,-0.06182512
C1,9.692634,7,0.005,-0.05793288
C1,10.19262,8,0.005,-0.05786718
C1,10.69333,9,0.006,-0.06133308
C1,11.19347,10,0.007,-0.04393855
C1,11.69341,11,0.008,-0.01659431
C1,12.19329,12,0.009,-0.01631058
C1,12.69343,13,0.01,-0.02732415
C1,13.19335,14,0.01,-0.01643256
C1,13.69408,15,0.011,-0.006297104
C1,14.19422,16,0.012,-0.007950835
C1,14.69414,17,0.013,-0.01867047
C1,15.19404,18,0.014,-0.02896417
C1,15.69418,19,0.015,-0.02310477
C1,16.1941,20,0.015,-0.01749706
C1,16.69423,21,0.016,-0.01072941
C1,17.19497,22,0.017,-0.01034743
C1,17.69489,23,0.018,-0.0410616
C1,18.19501,24,0.019,-0.05047364
C1,18.69493,25,0.02,-0.01696647
C1,19.19485,26,0.02,-0.006629482
C1,19.69497,27,0.021,-0.01989204
C1,20.19572,28,0.022,-0.01671682
C1,20.69563,29,0.023,-0.008243948
C1,21.19577,30,0.024,-0.005551037
C1,21.69567,31,0.025,-0.007488097
C1,22.19563,32,0.025,-0.01827186
C1,22.69572,33,0.026,-0.02942144
C1,23.19646,34,0.027,-0.02842723
C1,23.69661,35,0.028,-0.02471984
C1,24.19651,36,0.029,-0.0370778
C1,24.69642,37,0.03,-0.03894837
C1,25.19657,38,0.03,-0.03601709
C1,25.6973,39,0.031,-0.05098959
C1,26.19721,40,0.032,-0.06595507
C1,26.69736,41,0.033,-0.06205642
C1,27.19728,42,0.034,-0.04452577
C1,27.69717,43,0.035,-0.04427087
C1,28.19732,44,0.035,-0.05113709
C1,28.69806,45,0.036,-0.04617256
C1,29.19818,46,0.037,-0.04526731
C1,29.69811,47,0.038,-0.05902268
C1,30.19802,48,0.039,-0.07050875
C1,30.28228,Waste,0.04,-0.06621279
C1,30.28311,Waste,0.04,-0.06203159
C1,,,0.041,-0.07081873
C1,,,0.042,-0.07032663
C1,,,0.043,-0.07160757
C1,,,0.044,-0.0802525
C1,,,0.045,-0.06778668
C1,,,0.045,-0.06148003
C1,,,0.046,-0.06481505
C1,,,0.047,-0.05397444
C1,,,0.048,-0.05546502
C1,,,0.049,-0.07536688
C1,,,0.05,-0.09550986
C1,,,0.05,-0.1099408
C1,,,0.051,-0.09949023
C1,,,0.052,-0.07786664
C1,,,0.053,-0.07700013
C1,,,0.054,-0.08951903
C1,,,0.055,-0.09690545
C1,,,0.055,-0.09085601
C1,,,0.056,-0.07631262
C1,,,0.057,-0.04727251
C1,,,0.058,-0.02922179
C1,,,0.059,-0.05081743
C1,,,0.06,-0.07263262
C1,,,0.06,-0.07221911
C1,,,0.061,-0.06838164
C1,,,0.062,-0.0640734
C1,,,0.063,-0.07197398
C1,,,0.064,-0.08540632
C1,,,0.065,-0.07168887
C1,,,0.065,-0.05432099
C1,,,0.066,-0.07049546
C1,,,0.067,-0.08633754
C1,,,0.068,-0.08052401
C1,,,0.069,-0.06828078
C1,,,0.07,-0.06492467
C1,,,0.07,-0.07848117
C1,,,0.071,-0.08272652
C1,,,0.072,-0.07496546
C1,,,0.073,-0.07923585
C1,,,0.074,-0.0824043
C1,,,0.075,-0.08221098
C1,,,0.075,-0.07853568
C1,,,0.076,-0.07114923
C1,,,0.077,-0.08481036
C1,,,0.078,-0.1121087
C1,,,0.079,-0.1163394
C1,,,0.08,-0.1037596
C1,,,0.08,-0.09135922
C1,,,0.081,-0.07962771
C1,,,0.082,-0.07706352
C1,,,0.083,-0.07236169
C1,,,0.084,-0.06772448
C1,,,0.085,-0.06872196
C1,,,0.085,-0.07601285
C1,,,0.086,-0.09130979
C1,,,0.087,-0.08480088
C1,,,0.088,-0.06941725
C1,,,0.089,-0.08436374
C1,,,0.09,-0.1069753
C1,,,0.09,-0.1115808
C1,,,0.091,-0.1100224
C1,,,0.092,-0.102802
C1,,,0.093,-0.1006807
C1,,,0.094,-0.1030766
C1,,,0.095,-0.0952858
C1,,,0.095,-0.08386316
C1,,,0.096,-0.08920007
C1,,,0.097,-0.1024438
C1,,,0.098,-0.09293415
C1,,,0.099,-0.08521423
C1,,,0.1,-0.09734772
C1,,,0.1,-0.09131016
C1,,,0.101,-0.0713856
C1,,,0.102,-0.0718611
C1,,,0.103,-0.0792668
C1,,,0.104,-0.08781308
C1,,,0.105,-0.0938054
C1,,,0.105,-0.0836013
C1,,,0.106,-0.07557869
C1,,,0.107,-0.07316484
C1,,,0.108,-0.04976206
C1,,,0.109,-0.008743711
C1,,,0.11,-0.003385327
C1,,,0.11,-0.0421735
C1,,,0.111,-0.0624031
C1,,,0.112,-0.06349305
C1,,,0.113,-0.07484113
C1,,,0.114,-0.08387726
C1,,,0.115,-0.08309428
C1,,,0.115,-0.09312917
C1,,,0.116,-0.09451374
C1,,,0.117,-0.08277827
C1,,,0.118,-0.07296798
C1,,,0.119,-0.06260328
C1,,,0.119,-0.0580719
C1,,,0.12,-0.07675748
C1,,,0.121,-0.08868758
C1,,,0.122,-0.09105793
C1,,,0.123,-0.1010931
C1,,,0.124,-0.09100676
C1,,,0.124,-0.09833818
C1,,,0.125,-0.1062484
C1,,,0.126,-0.08600216
C1,,,0.127,-0.07536791
C1,,,0.128,-0.0672935
C1,,,0.129,-0.07364397
C1,,,0.129,-0.07287217
C1,,,0.13,-0.06555954
C1,,,0.131,-0.06370086
C1,,,0.132,-0.03618954
C1,,,0.133,-0.01932516
C1,,,0.134,-0.01666678
C1,,,0.134,0.000582891
C1,,,0.135,0.006975933
C1,,,0.136,-0.01831817
C1,,,0.137,-0.03568599
