hansen_treeD;hansen_treeD_1km;Habitat
95;83.68415833;Shade_coffee
95;52.32880402;Forest_fragment/Riparian_strip
7;69.27404022;Shade_coffee
91;83.29683685;Shade_coffee
86;83.29683685;Shade_coffee
96;86.64510345;Mature_forest
96;86.64510345;Secondary_Growth
89;86.64510345;Secondary_Growth
94;86.64510345;Secondary_Growth
96;86.64510345;Mature_forest
96;86.64510345;Secondary_Growth
90;86.64510345;Mature_forest
95;86.64510345;Mature_forest
98;86.64510345;Secondary_Growth
100;86.64510345;Mature_forest
100;86.64510345;Mature_forest
98;86.64510345;Mature_forest
100;86.64510345;Mature_forest
100;86.64510345;Mature_forest
75;86.64510345;Mature_forest
99;86.64510345;Mature_forest
99;86.64510345;Mature_forest
97;67.90058899;Mature_forest
92;79.21495056;Mature_forest
96;67.90058899;Mature_forest
100;67.90058899;Mature_forest
72;67.90058899;Mature_forest
100;67.90058899;Mature_forest
94;67.90058899;Mature_forest
95;67.90058899;Mature_forest
90;80.74205017;Forest_fragment/Riparian_strip
99;80.74205017;Forest_fragment/Riparian_strip
95;81.77240753;Forest_fragment/Riparian_strip
95;80.74205017;Forest_fragment/Riparian_strip
22;81.77240753;Shade_coffee
95;85.2015152;Forest_fragment/Riparian_strip
84;81.77240753;Shade_coffee
90;80.74205017;Shade_coffee
73;81.77240753;Shade_coffee
81;80.74205017;Shade_coffee
42;75.00334167;Shade_coffee
95;85.2015152;Shade_coffee
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;85.10045624;Mature_forest
89;85.10045624;Mature_forest
90;80.50391388;Mature_forest
90;80.50391388;Mature_forest
81;80.50391388;Mature_forest
81;66.89613342;Mature_forest
90;66.89613342;Mature_forest
95;85.10045624;Mature_forest
95;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;84.04781342;Mature_forest
90;84.04781342;Mature_forest
90;84.04781342;Mature_forest
90;85.10045624;Mature_forest
90;84.04781342;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;80.50391388;Mature_forest
90;66.89613342;Mature_forest
90;80.50391388;Mature_forest
90;80.50391388;Mature_forest
90;66.89613342;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;63.25940323;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
90;84.04781342;Mature_forest
90;84.04781342;Mature_forest
90;84.04781342;Mature_forest
90;84.04781342;Mature_forest
90;84.04781342;Mature_forest
90;84.04781342;Mature_forest
90;85.10045624;Mature_forest
90;85.10045624;Mature_forest
63;84.04781342;Mature_forest
82;84.04781342;Mature_forest
90;43.06640244;Secondary_Growth
60;58.38142776;Mature_forest
78;58.38142776;Mature_forest
47;58.38142776;Mature_forest
78;58.38142776;Mature_forest
60;52.25966263;Mature_forest
66;58.38142776;Mature_forest
45;58.38142776;Mature_forest
82;60.3118782;Secondary_Growth
90;80.60090637;Mature_forest
90;80.60090637;Secondary_Growth
90;80.60090637;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;92.85403442;Mature_forest
95;94.69482422;Mature_forest
95;92.85403442;Mature_forest
95;94.69482422;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
99;78.11575317;Mature_forest
95;78.11575317;Mature_forest
90;81.02529907;Mature_forest
72;81.02529907;Mature_forest
76;81.02529907;Mature_forest
95;87.24108124;Secondary_Growth
95;87.24108124;Secondary_Growth
89;87.24108124;Mature_forest
99;87.24108124;Mature_forest
90;78.11575317;Mature_forest
59;81.02529907;Mature_forest
90;81.02529907;Mature_forest
89;81.02529907;Mature_forest
83;81.02529907;Mature_forest
90;81.02529907;Secondary_Growth
90;81.02529907;Mature_forest
72;65.00800323;Mature_forest
74;65.00800323;Secondary_Growth
95;92.85403442;Mature_forest
76;58.38142776;Mature_forest
90;58.38142776;Mature_forest
79;52.25966263;Secondary_Growth
76;52.25966263;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
89;58.38142776;Mature_forest
68;58.38142776;Mature_forest
68;52.25966263;Mature_forest
95;92.85403442;Mature_forest
89;58.38142776;Mature_forest
95;92.85403442;Mature_forest
78;52.25966263;Mature_forest
28;58.38142776;Secondary_Growth
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
97;79.23567963;Secondary_Growth
95;79.23567963;Secondary_Growth
74;58.38142776;Mature_forest
95;85.65267944;Mature_forest
95;82.05325317;Mature_forest
95;79.23567963;Secondary_Growth
90;85.65267944;Mature_forest
95;79.23567963;Secondary_Growth
90;85.65267944;Mature_forest
90;85.65267944;Mature_forest
95;82.37373352;Secondary_Growth
81;85.65267944;Mature_forest
90;85.65267944;Mature_forest
95;88.5226593;Mature_forest
95;88.5226593;Mature_forest
89;68.53069305;Mature_forest
91;27.78082085;Shade_coffee
81;27.78082085;Shade_coffee
68;46.43687057;Shade_coffee
86;29.56741714;Shade_coffee
76;27.78082085;Shade_coffee
83;27.78082085;Shade_coffee
95;88.5226593;Mature_forest
95;88.5226593;Secondary_Growth
95;94.69482422;Mature_forest
99;88.5226593;Mature_forest
99;94.69482422;Mature_forest
95;68.23831177;Mature_forest
95;68.23831177;Mature_forest
90;68.23831177;Mature_forest
95;68.23831177;Mature_forest
93;68.23831177;Mature_forest
90;68.23831177;Mature_forest
95;41.02163315;Shade_coffee
95;41.02163315;Shade_coffee
47;63.26517868;Secondary_Growth
95;74.84596252;Secondary_Growth
95;74.84596252;Secondary_Growth
80;74.84596252;Mature_forest
95;74.84596252;Mature_forest
95;74.84596252;Secondary_Growth
95;74.84596252;Mature_forest
74;74.84596252;Secondary_Growth
95;74.84596252;Secondary_Growth
68;74.84596252;Secondary_Growth
95;74.84596252;Secondary_Growth
95;74.84596252;Mature_forest
78;74.84596252;Mature_forest
95;74.84596252;Secondary_Growth
75;74.84596252;Mature_forest
94;74.84596252;Mature_forest
95;74.84596252;Mature_forest
95;74.84596252;Secondary_Growth
95;74.84596252;Mature_forest
95;79.89677429;Mature_forest
95;74.84596252;Mature_forest
95;79.89677429;Mature_forest
90;79.89677429;Mature_forest
95;79.89677429;Mature_forest
95;79.89677429;Mature_forest
95;79.89677429;Mature_forest
83;79.89677429;Secondary_Growth
95;79.89677429;Mature_forest
78;79.89677429;Mature_forest
95;70.1366272;Mature_forest
90;70.1366272;Mature_forest
95;65.20037842;Mature_forest
95;65.20037842;Mature_forest
95;70.1366272;Mature_forest
90;70.1366272;Mature_forest
90;70.1366272;Mature_forest
95;78.51692963;Shade_coffee
95;78.51692963;Shade_coffee
95;78.51692963;Shade_coffee
94;78.51692963;Shade_coffee
95;78.51692963;Shade_coffee
95;78.51692963;Shade_coffee
95;68.54437256;Shade_coffee
90;68.54437256;Shade_coffee
95;68.54437256;Shade_coffee
95;68.54437256;Shade_coffee
90;68.54437256;Shade_coffee
99;68.54437256;Shade_coffee
82;68.54437256;Shade_coffee
99;74.89324951;Shade_coffee
90;74.89324951;Shade_coffee
95;74.89324951;Shade_coffee
90;68.54437256;Mature_forest
99;68.54437256;Mature_forest
95;68.54437256;Mature_forest
95;68.54437256;Mature_forest
99;68.54437256;Mature_forest
90;68.54437256;Mature_forest
99;68.54437256;Mature_forest
99;68.54437256;Mature_forest
95;68.54437256;Mature_forest
95;68.54437256;Mature_forest
90;85.00593567;Forest_fragment/Riparian_strip
90;90.04559326;Mature_forest
89;90.04559326;Mature_forest
90;90.04559326;Mature_forest
91;90.04559326;Mature_forest
90;80.03420258;Mature_forest
95;90.04559326;Mature_forest
90;90.04559326;Mature_forest
90;92.23602295;Mature_forest
97;80.03420258;Mature_forest
89;80.03420258;Shade_coffee
91;80.03420258;Shade_coffee
90;92.23602295;Mature_forest
95;90.04559326;Mature_forest
90;90.04559326;Mature_forest
90;90.04559326;Mature_forest
95;92.23602295;Mature_forest
95;92.23602295;Mature_forest
95;92.23602295;Mature_forest
90;92.23602295;Mature_forest
90;92.23602295;Mature_forest
95;92.23602295;Mature_forest
90;92.23602295;Mature_forest
95;92.23602295;Mature_forest
95;92.23602295;Mature_forest
90;92.23602295;Mature_forest
95;92.23602295;Mature_forest
90;92.23602295;Mature_forest
90;92.23602295;Mature_forest
90;92.23602295;Mature_forest
90;92.23602295;Mature_forest
90;92.23602295;Mature_forest
95;92.23602295;Mature_forest
95;85.27883911;Shade_coffee
95;85.27883911;Shade_coffee
95;85.27883911;Shade_coffee
95;80.40711975;Shade_coffee
73;85.27883911;Shade_coffee
90;85.27883911;Shade_coffee
90;85.27883911;Shade_coffee
90;80.40711975;Shade_coffee
76;80.40711975;Shade_coffee
95;82.37373352;Mature_forest
90;60.3118782;Secondary_Growth
95;80.60090637;Mature_forest
95;88.5226593;Mature_forest
95;80.60090637;Mature_forest
95;94.69482422;Mature_forest
90;80.60090637;Mature_forest
90;80.60090637;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;82.37373352;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
99;82.37373352;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;92.85403442;Mature_forest
95;94.69482422;Mature_forest
95;92.85403442;Mature_forest
90;85.10045624;Mature_forest
95;92.85403442;Mature_forest
95;94.69482422;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
51;85.10045624;Mature_forest
95;85.10045624;Mature_forest
93;85.10045624;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
90;85.10045624;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
90;84.04781342;Mature_forest
95;92.85403442;Mature_forest
95;92.85403442;Mature_forest
95;79.23567963;Secondary_Growth
90;85.10045624;Mature_forest
90;84.04781342;Mature_forest
95;79.23567963;Secondary_Growth
95;79.23567963;Secondary_Growth
90;84.04781342;Mature_forest
77;65.00800323;Mature_forest
90;65.00800323;Mature_forest
95;82.05325317;Secondary_Growth
95;79.23567963;Secondary_Growth
95;85.65267944;Mature_forest
95;82.37373352;Secondary_Growth
90;85.65267944;Mature_forest
99;88.5226593;Mature_forest
90;85.65267944;Mature_forest
90;85.65267944;Mature_forest
90;85.65267944;Mature_forest
95;85.65267944;Mature_forest
95;88.5226593;Secondary_Growth
90;68.53069305;Mature_forest
95;82.37373352;Mature_forest
95;82.37373352;Mature_forest
95;82.37373352;Mature_forest
71;60.3118782;Secondary_Growth
90;80.60090637;Mature_forest
95;82.37373352;Mature_forest
95;82.37373352;Mature_forest
95;82.37373352;Mature_forest
95;88.5226593;Mature_forest
95;88.5226593;Mature_forest
95;88.5226593;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;94.69482422;Mature_forest
95;72.47866058;Mature_forest
95;72.47866058;Mature_forest
90;66.89613342;Mature_forest
90;80.50391388;Mature_forest
90;66.89613342;Mature_forest
