Temperature,Heat capacity,Species
339.8142,-19.04,Enzyme 1
340.2165,-18.93,Enzyme 1
340.6164,-18.90,Enzyme 1
341.0183,-18.95,Enzyme 1
341.4171,-18.89,Enzyme 1
341.8149,-18.55,Enzyme 1
342.2121,-18.34,Enzyme 1
342.6124,-18.41,Enzyme 1
343.0147,-18.32,Enzyme 1
343.4172,-17.98,Enzyme 1
343.8188,-17.86,Enzyme 1
344.2207,-17.99,Enzyme 1
344.6204,-18.07,Enzyme 1
345.0199,-18.24,Enzyme 1
345.4197,-17.88,Enzyme 1
345.8198,-17.56,Enzyme 1
346.2156,-17.73,Enzyme 1
346.6172,-17.73,Enzyme 1
347.0177,-17.78,Enzyme 1
347.4181,-17.64,Enzyme 1
347.8196,-17.44,Enzyme 1
348.2208,-17.23,Enzyme 1
348.6189,-17.29,Enzyme 1
349.0174,-17.42,Enzyme 1
349.4132,-17.06,Enzyme 1
349.8091,-16.64,Enzyme 1
350.2021,-16.60,Enzyme 1
350.6014,-16.21,Enzyme 1
351.0030,-15.63,Enzyme 1
351.4045,-15.41,Enzyme 1
351.8048,-15.46,Enzyme 1
352.2071,-15.87,Enzyme 1
352.6052,-15.96,Enzyme 1
353.0060,-15.22,Enzyme 1
353.4076,-14.53,Enzyme 1
353.8076,-13.86,Enzyme 1
354.2051,-13.22,Enzyme 1
354.6052,-12.93,Enzyme 1
355.0053,-12.44,Enzyme 1
355.4059,-11.70,Enzyme 1
355.8076,-10.53,Enzyme 1
356.2118,-9.10,Enzyme 1
356.6120,-7.49,Enzyme 1
357.0104,-5.78,Enzyme 1
357.4073,-3.74,Enzyme 1
357.8056,-0.80,Enzyme 1
358.2025,3.29,Enzyme 1
358.6021,8.36,Enzyme 1
359.0023,14.06,Enzyme 1
359.4025,20.58,Enzyme 1
359.8026,28.60,Enzyme 1
360.2029,38.50,Enzyme 1
360.6014,50.35,Enzyme 1
361.0002,63.83,Enzyme 1
361.4012,79.49,Enzyme 1
361.7966,97.01,Enzyme 1
362.1960,116.04,Enzyme 1
362.5966,136.02,Enzyme 1
362.9993,156.23,Enzyme 1
363.3998,175.31,Enzyme 1
363.8001,191.32,Enzyme 1
364.1998,202.47,Enzyme 1
364.5996,206.27,Enzyme 1
364.9986,200.70,Enzyme 1
365.4014,184.76,Enzyme 1
365.8015,158.65,Enzyme 1
366.2010,125.63,Enzyme 1
366.6038,89.76,Enzyme 1
367.0030,56.64,Enzyme 1
367.4046,29.82,Enzyme 1
367.8024,10.47,Enzyme 1
368.1989,-0.38,Enzyme 1
