Substrate	Specific activity	SD	Species
0	0.00	0.00	Enzyme 1
0.025	225.08	45.02	Enzyme 1
0.05	409.43	107.91	Enzyme 1
0.1	750.27	117.28	Enzyme 1
0.2	1173.63	193.11	Enzyme 1
0.3	1389.07	214.04	Enzyme 1
0.4	1719.19	258.56	Enzyme 1
0.5	1824.22	512.23	Enzyme 1
0.6	1918.54	266.64	Enzyme 1
0.8	2170.42	392.64	Enzyme 1
1.0	2405.14	355.58	Enzyme 1
1.5	2664.52	450.35	Enzyme 1
2.0	2404.07	246.65	Enzyme 1
2.5	2155.41	378.85	Enzyme 1
3.0	3139.34	739.71	Enzyme 1
0	0.00	0.00	Enzyme 2
0.025	135.05	18.19	Enzyme 2
0.05	239.55	20.46	Enzyme 2
0.1	450.16	0.00	Enzyme 2
0.2	715.43	6.82	Enzyme 2
0.3	921.22	15.92	Enzyme 2
0.4	1004.82	20.46	Enzyme 2
0.6	1247.59	291.03	Enzyme 2
0.8	1345.66	216.00	Enzyme 2
1	1371.38	120.50	Enzyme 2
1.5	1480.71	65.94	Enzyme 2
2	1635.05	243.28	Enzyme 2
2.5	1559.49	245.55	Enzyme 2
3	1416.40	15.92	Enzyme 2
