Date	Cases	Deaths
1-Mar	88	3
2-Mar	104	6
3-Mar	125	10
4-Mar	161	12
5-Mar	228	12
6-Mar	311	15
7-Mar	428	19
8-Mar	547	22
9-Mar	748	26
10-Mar	1018	31
11-Mar	1263	37
12-Mar	1668	43
13-Mar	2224	50
14-Mar	2898	60
15-Mar	3600	68
16-Mar	4507	91
17-Mar	5906	117
18-Mar	8350	162
19-Mar	12393	212
20-Mar	18012	277
21-Mar	24528	360
22-Mar	33073	458
23-Mar	43505	579
24-Mar	53938	785
25-Mar	68572	1054
26-Mar	85570	1353
27-Mar	102900	1770
28-Mar	123966	2300
29-Mar	142486	2718
30-Mar	163955	3368
31-Mar	188461	4304
