GeneID,Length,logFC,logCPM,F,PValue,FDR,
,,,,,,,
shot_v6,15810,-3.394254046,7.027701426,778.5969368,8.36E-08,0.000421876,"short stop (shot) encodes a member of the spectraplakin family of large cytoskeletal linker molecules. It binds both actin and microtubules, as well as scaffold proteins, certain signalling factors and calcium. It plays developmental and maintenance roles"
,,,,,,,
Bruce,14585,-2.40301733,8.61045803,678.9434548,1.28E-07,0.000421876,BIR repeat containing ubiquitin-conjugating enzyme (Bruce) encodes a BIR domain containing anti-apoptotic protein of the inhibitor of apoptosis (IAP) protein family. It blocks apoptosis in part by binding to and ubiquitylating pro-apoptotic proteins such 
,,,,,,,
dap,1224,-2.018915966,6.392835477,527.1266795,2.80E-07,0.000591872,dacapo (dap) encodes a Cyclin-dependent kinase inhibitor in the CIP/KIP family. It binds to CycE-Cdk2 complexes and thereby inhibits their protein kinase activity. Upregulation of dap is required after the last mitosis for arresting cells in G1/G0 before 
,,,,,,,
shot_v2,1606,-3.321511052,2.750598881,460.2994796,4.26E-07,0.000591872,
,,,,,,,
Top3beta,2728,-2.274875129,7.2722881,452.8185507,4.48E-07,0.000591872,"Topoisomerase 3_ (Top3_) encodes an RNA topoisomerase that participates in both transcription and translation. It promotes transcription by being recruited by the product of Tdrd3, an epigenetic reader recognizing dimethylarginine motifs in core histones."
,,,,,,,
Dhc64C,14210,-1.917983465,8.81405815,342.0235945,1.07E-06,0.000976006,"Dynein heavy chain 64C (Dhc64C) encodes the heavy chain subunit of the cytoplasmic dynein motor complex. The product of Dhc64C forms a dimer, which binds and hydrolyzes ATP providing the power for movement of dynein. It has an essential function in oocyte"
,,,,,,,
Gs1,5891,-1.636908088,7.598249481,323.8451214,1.26E-06,0.000976006,"Glutamine synthetase 1 (Gs1) encodes the mitochondrial enzyme that uses glutamate and ammonia as substrates to synthesize glutamine, which is a precursor of purine and pyrimidine synthesis. An adequate level of maternally supplied Gs1 product activity is "
,,,,,,,
Atg13,3895,-1.740914126,5.931160436,311.7987324,1.42E-06,0.000976006,"Autophagy-related 13 (Atg13) encodes a subunit of the evolutionarily conserved Atg1 kinase complex, which controls the initiation of autophagosome formation. [Date last reviewed: 2019-03-07] "
,,,,,,,
stau_v2,571,-2.833974708,6.149854516,308.4372463,1.47E-06,0.000976006,
,,,,,,,
CHORD,1713,-2.383705786,6.830984004,307.4980466,1.48E-06,0.000976006,CHORD (CHORD) encodes an evolutionarily conserved co-chaperone of the product of Hsp83 that controls neuronal cell growth in the context of dendrite remodeling. Dendritic growth and branching are controlled by at least partly separate mechanisms. 
,,,,,,,
rudhira,7749,-1.455061695,7.716744941,273.0941931,2.13E-06,0.00121202,
,,,,,,,
CG9821,5170,-1.581040332,6.227146001,269.6428912,2.21E-06,0.00121202,Proline-rich nuclear receptor coactivator 1/2
,,,,,,,
CG6230,3602,-1.452218001,6.731481225,263.0771228,2.39E-06,0.00121202,
,,,,,,,
rin,4043,-1.508420025,8.800787102,241.981046,3.08E-06,0.001336149,rasputin (rin) encodes an RNA-binding protein that regulates gene expression. It is involved in eye development and the dorsal/ventral axis specification of the ovary. [Date last reviewed: 2019-09-26] 
,,,,,,,
SIDL,3495,-1.879487406,6.670525947,240.7802891,3.13E-06,0.001336149,"transport, localization, macromolecular complex"
,,,,,,,
CG7466,9194,-1.331861596,5.80084554,238.1230313,3.24E-06,0.001336149,
,,,,,,,
yrt_v2,4481,-1.333051633,6.924691148,218.370632,4.22E-06,0.001573589,
,,,,,,,
CG11505,7988,-1.270318333,8.643477699,217.1743305,4.29E-06,0.001573589,
,,,,,,,
Tl,6476,-1.419974688,6.54459583,212.116702,4.61E-06,0.001601892,
,,,,,,,
CG3008,2175,-1.897888212,7.549438785,202.6705084,5.30E-06,0.001748504,"enzyme, Protein kinase-like domain "
,,,,,,,
Slc45-1,2266,-1.635772154,7.210606191,199.2392965,5.58E-06,0.001754139,Solute carrier family 45 member 1 (Slc45-1) encodes a proton/sucrose symporter occuring in apical membranes of the late embryonic hindgut as well as in vesicular membranes of ovarian follicle cells. It may either serve as an osmolyte transporter or...
,,,,,,,
M6,3163,-1.312128037,5.274540447,195.4695925,5.92E-06,0.001774665,
,,,,,,,
CG9514,1877,-1.500271166,9.517582342,177.1217813,7.98E-06,0.002096631,enzyme
,,,,,,,
CG3407,5271,-1.583304891,6.393522718,175.015769,8.28E-06,0.002096631,"C2H2 Zinc finger,  DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II proximal promoter sequence-specific DNA binding"
,,,,,,,
slpr,4695,-1.657715648,6.739003162,173.7590525,8.46E-06,0.002096631,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily. (Q95UN8)
,,,,,,,
CG8314,1129,-1.549967817,5.905086077,173.6229024,8.48E-06,0.002096631," Protein Signatures (InterPro), Palmitoyltransferase, DHHC domain"
,,,,,,,
Jra,1927,-1.258660769,6.810555861,171.5415261,8.80E-06,0.002096631,
,,,,,,,
Mgat1,2295,-1.207516373,5.243282291,170.3873143,8.98E-06,0.002096631,
,,,,,,,
CG16908,3410,-2.0804208,8.355919196,168.942774,9.21E-06,0.002096631,"Macromolecular complex, Armadillo-type fold, TEL2-interacting protein 1"
,,,,,,,
Prp19,1686,-1.353868496,8.099010508,164.1272689,1.01E-05,0.002212296,
,,,,,,,
Dad,11894,-2.551194621,7.841143229,153.9251462,1.22E-05,0.002381147,Daughters against dpp (Dad) encodes the inhibitory SMAD in the BMP/Dpp pathway. It is involved in growth regulation and developmental patterning. [Date last reviewed: 2018-10-04] 
,,,,,,,
CG8399,3151,-2.612169117,6.626740278,151.4893814,1.28E-05,0.002381147,"enzyme, METAL ION OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR"
,,,,,,,
gro,3176,-2.877279728,5.338457196,151.1344282,1.29E-05,0.002381147,"groucho (gro) encodes a global developmental co-repressor in conjunction with manifold DNA-binding repressor partner proteins, which tether it to target promoters. It functions downstream of key signaling pathways such as Wg/Wnt and Dpp/TGF-beta. Notably, phosphorylation of the product of gro in response to MAPK activation weakens its repressor capacity. [Date last reviewed: 2019-03-07] "
,,,,,,,
GABPI,1561,-1.335959971,5.415757326,149.6098201,1.33E-05,0.002381147,
,,,,,,,
CG14516,4263,-3.065441431,9.614854003,148.7252226,1.35E-05,0.002381147,"Aminopeptidase N2, ERAP1-like C-terminal domain, metalloaminopeptidase activity; peptide binding; zinc ion binding"
,,,,,,,
Ack-like,5118,-2.850900227,6.562197601,147.8480757,1.38E-05,0.002381147,"Activated Cdc42 kinase-like (Ack-like) encodes a non-receptor tyrosine kinase that participates in signaling by the small GTPase encoded by Cdc42. It is involved in embryonic dorsal closure, an epithelial morphogenetic event. [Date last reviewed: 2019-03-"
,,,,,,,
pbl,5180,-1.050743626,7.02903061,147.332295,1.39E-05,0.002381147,
,,,,,,,
bchs,11985,-2.178743303,7.015351726,147.1860573,1.40E-05,0.002381147,"blue cheese (bchs) is a neuronally expressed gene that encodes a member of the BEACH (Beige and Chediak-Higashi)-domain superfamily, whose members are involved in vesicle trafficking. It antagonizes the activity of the product of Rab11. It serves as a sca"
,,,,,,,
FBgn0261793 eval 0.002,2103,-3.016042661,9.777053763,146.8623914,1.41E-05,0.002381147,The corresponding Hermetia sequence is unique and has no significant homology with FBgn0261793 (referred to as trf1 in Yoseop's thesis but no homology with this or the genes)
,,,,,,,
CG11593,5674,-1.018303057,7.89833819,144.7399449,1.47E-05,0.002425809,
,,,,,,,
PEK,2474,-1.031899688,6.599128373,136.7246122,1.75E-05,0.002759342,
,,,,,,,
l(3)76BDm,3977,-0.978793548,6.921803815,136.4504221,1.76E-05,0.002759342,
,,,,,,,
abs,6180,-1.375876792,5.94174064,134.928862,1.82E-05,0.002759401,
,,,,,,,
Arp8,26493,-1.565001689,8.635093223,134.3549907,1.84E-05,0.002759401,Actin family
,,,,,,,
stau,3812,-3.460314777,10.6330329,130.7931886,1.99E-05,0.002860348,"staufen (stau) encodes a double-stranded RNA binding protein involved in mRNA localization. It contributes to anterior and posterior patterning, nervous system development and long term memory. [Date last reviewed: 2019-03-14] "
,,,,,,,
CG3655,3926,-1.142408295,6.723297381,130.2868749,2.02E-05,0.002860348,
,,,,,,,
sdk,8281,-1.093623231,8.055323729,129.8751174,2.04E-05,0.002860348,
,,,,,,,
sbb_v2,3701,-1.478621461,7.167326273,127.8396994,2.14E-05,0.002936745,"scribbler (sbb) encodes a transcriptional co-regulator that acts mainly as a co-repressor. It interacts physically and genetically with the product of Gug and is used by the repressor encoded by tll in early embryos. It regulates larval behavior, photorec"
,,,,,,,
Cpr,3225,-0.94721636,7.791163636,125.9544236,2.23E-05,0.003007916,
,,,,,,,
SamDC,3175,-1.046857507,5.706182165,123.7278412,2.36E-05,0.003109645,
,,,,,,,
CoRest,2174,-1.105435419,8.02553499,120.7218064,2.54E-05,0.003281716,
,,,,,,,
CG9795,3309,-1.330529704,6.244957969,114.0803195,3.00E-05,0.003783014,
,,,,,,,
Ice1,4023,-1.941005149,6.580832553,113.643549,3.04E-05,0.003783014,Belongs to the ICE1 family. (Q9W1R4).Macromolecular complex. 
,,,,,,,
Lk6,4885,-0.982378661,9.438595315,112.1821464,3.16E-05,0.003859184,
,,,,,,,
CG7720,4137,-1.503869665,6.382069242,110.9035176,3.27E-05,0.003916112,transmembrane transporter activity Sodium/Glucose co-transporter
,,,,,,,
Spred,3153,-1.505643284,3.747236882,110.2796373,3.32E-05,0.003916112,predicted protein kinase binding
,,,,,,,
app,3187,-0.979395536,7.628115213,108.4199211,3.50E-05,0.004007144,
,,,,,,,
CG4281,4507,-1.126405958,5.011963583,108.1512609,3.52E-05,0.004007144,
,,,,,,,
elav,2666,-1.059059869,5.123373587,105.2296638,3.82E-05,0.004242516,
,,,,,,,
CG2698,3188,-0.948302448,5.388708864,104.8951709,3.86E-05,0.004242516,
,,,,,,,
Unc-115a,2928,-0.969775238,5.946779646,100.2213711,4.42E-05,0.004748337,
,,,,,,,
Smox,10181,-0.831824718,7.826075887,99.88314785,4.46E-05,0.004748337,
,,,,,,,
papi,3422,-1.068691262,6.247374131,97.88423919,4.74E-05,0.004961629,
,,,,,,,
CG10702_v2,1293,-0.856012357,7.788952412,95.38538165,5.11E-05,0.005152099,
,,,,,,,
CG18273,4077,-0.93566427,7.734183675,95.3302605,5.12E-05,0.005152099,
,,,,,,,
Piezo,7275,-0.829383958,6.540717854,95.14052756,5.15E-05,0.005152099,
,,,,,,,
CG6511,3838,-1.838943523,6.236760258,93.2960729,5.46E-05,0.005377718,nothing known
,,,,,,,
CG12050,14474,-1.182086923,7.832579968,92.75054607,5.56E-05,0.005381007,
,,,,,,,
CG6659,2932,-1.306011598,8.196004075,92.35291304,5.63E-05,0.005381007,
,,,,,,,
CG33096_v2,4035,-1.815520979,7.10814236,90.68880147,5.94E-05,0.005596698,"membrane, cell periphery"
,,,,,,,
CG3523,8614,-0.820831471,7.999836289,89.73138349,6.13E-05,0.005662974,
,,,,,,,
Dd,3340,-0.901396118,7.806742439,89.46916502,6.18E-05,0.005662974,
,,,,,,,
gem,4469,-1.21966256,6.404123248,88.93402955,6.29E-05,0.005685073,
,,,,,,,
CG4049,1692,-2.402322189,3.127826942,87.67632119,6.56E-05,0.005848634,ATP binding
,,,,,,,
Rab39,1934,-1.93353928,5.507402862,86.98379742,6.71E-05,0.005906996,"Small GTPase, transport, localization"
,,,,,,,
CG5807,2115,-0.827304064,7.260974616,86.54772123,6.81E-05,0.005916155,
,,,,,,,
Maf1,3687,-1.751233924,4.956866879,86.04579626,6.93E-05,0.00592792,RNA polymerase III core binding; RNA polymerase III type 1 promoter DNA binding; RNA polymerase III type 2 promoter DNA binding; RNA polymerase III type 3 promoter DNA binding
,,,,,,,
CycY,3436,-1.297894395,6.393241854,85.72914717,7.01E-05,0.00592792,
,,,,,,,
Actn,2340,-0.906373502,6.077893807,84.14965777,7.40E-05,0.006181777,
,,,,,,,
CG11360,4310,-1.295857654,4.935207796,82.52717883,7.84E-05,0.006399488,
,,,,,,,
CG11231 eval 0.002,2953,-0.821985503,5.459671465,82.45856396,7.86E-05,0.006399488,
,,,,,,,
Dmtn,2851,-1.254481762,6.765201116,80.00302304,8.58E-05,0.0068507,
,,,,,,,
Kat60,2866,-1.041057775,8.919427301,79.89688352,8.62E-05,0.0068507,
,,,,,,,
CG9304,2475,-0.764325452,6.987374937,79.52661159,8.73E-05,0.006861854,
,,,,,,,
Nhe3,6222,-0.81732126,6.265673053,77.36479374,9.47E-05,0.007350494,
,,,,,,,
ed,7122,-1.547480534,8.412875175,74.67667907,0.000104977,0.008055159,"echinoid (ed) encodes a cell adhesion molecule of adherens junctions that mediate cell adhesion/recognition. It participates in multiple signaling pathways including Egfr, Notch and Hippo during organogenesis. It is also required in multiple steps of dorsal closure during embryogenesis. [Date last reviewed: 2019-03-07] "
,,,,,,,
zfh1,5869,-0.687433068,7.018111836,72.46423665,0.000114589,0.00869161,
,,,,,,,
CG10077,2388,-0.674065365,9.166389575,72.16483487,0.000115977,0.00869531,
,,,,,,,
Syn,3870,-1.287271026,3.814589278,71.78509781,0.000117771,0.00869531,
,,,,,,,
hipk,6372,-0.70229913,7.94368368,71.3812711,0.000119718,0.00869531,
,,,,,,,
CG4049_v2,5853,-2.201010432,5.269213788,71.34240386,0.000119908,0.00869531,"ATP binding, Helicase C-terminal"
,,,,,,,
plum,1086,-1.489538001,1.687681103,70.84939529,0.000122349,0.008775876,plum (plum) encodes an Ig-superfamily transmembrane protein. It is required for developmental pruning of both mushroom body neurons and motor neurons via TGF-_ signaling. plum genetically interacts with myo and babo. [Date last reviewed: 2019-03-14] 
,,,,,,,
Hr78,2533,-0.740338513,5.302495715,69.95827037,0.00012693,0.008933912,
,,,,,,,
Hira,1383,-0.70815409,6.403074131,69.89572867,0.00012726,0.008933912,
,,,,,,,
cact,3525,-1.290515728,7.903013972,68.82743534,0.000133075,0.009178689,
,,,,,,,
CG15385,6522,-0.690376387,8.195058035,68.74669412,0.000133528,0.009178689,
,,,,,,,
CG2765,3132,-0.759315653,7.25494382,65.91314039,0.000150829,0.010261061,
,,,,,,,
sced,1738,-1.423986488,7.406540965,65.58946499,0.00015299,0.010301854,
,,,,,,,
fs(1)N,6823,-0.866964116,9.033265194,64.61688653,0.000159734,0.010647292,
,,,,,,,
FBgn0010482 eval 0.008,2092,-2.970156964,6.693681617,64.23214813,0.000162509,0.010723999,"The corresponding Hermetia sequence is unique, and has no significant homology with FBgn0010482 (CG9432)."
,,,,,,,
CG11448,2600,-0.678200383,6.353590315,63.36355653,0.000169015,0.011042845,
,,,,,,,
CG10702,1103,-0.90541299,8.296659745,61.97172003,0.000180174,0.011656556,
,,,,,,,
CG34401,8239,-1.030374705,9.896701068,59.55507041,0.000201975,0.012825337,
,,,,,,,
CG31998,6924,-0.685570171,7.782596062,59.53946671,0.000202127,0.012825337,
,,,,,,,
fz,3347,-0.67357725,6.723639641,58.77643937,0.000209737,0.013181447,
,,,,,,,
FBgn0028703 eval 1e-05,1121,-1.365861998,2.42586357,57.20321513,0.000226662,0.014110766,
,,,,,,,
Utx,5630,-0.654666934,8.015062846,56.98261179,0.000229178,0.014134043,
,,,,,,,
Utx_v2,2261,-0.695459325,5.915052721,56.63767428,0.000233186,0.014248069,
,,,,,,,
rap,4646,-0.758029326,7.135789886,55.49419284,0.000247153,0.014962948,
,,,,,,,
CG8494,6403,-1.373034474,7.683315283,54.96006722,0.000254056,0.015156122,
,,,,,,,
kug_v4,2734,-1.157091585,2.104074048,54.89327775,0.000254937,0.015156122,
,,,,,,,
yki,3568,-0.618038828,6.101141487,54.41433319,0.000261375,0.015400096,
,,,,,,,
Tim17b,1116,-0.886808601,7.450318522,54.22187468,0.000264022,0.015418407,
,,,,,,,
U2A,1968,-0.591467105,7.359309727,53.51393868,0.00027407,0.015864783,
,,,,,,,
ph-d,4742,-0.604242302,7.340347285,52.77348252,0.000285126,0.016324994,
,,,,,,,
CG1578,4139,-1.073809977,6.602164809,52.65383855,0.000286968,0.016324994,
,,,,,,,
tai,6161,-0.692373408,9.965186884,52.33616426,0.000291934,0.016409123,
,,,,,,,
